wardpc,wardname,province,district,alt_name,districtpc,pop_2012,f_pop_2012,m_pop_2012,households
130412,12,Mashonaland East,Marondera,,1304,5471,2905,2566,1381
130815,15,Mashonaland East,Seke,,1308,3475,1683,1792,867
130819,19,Mashonaland East,Seke,,1308,1674,804,870,368
130410,10,Mashonaland East,Marondera,,1304,4774,2508,2266,1213
130405,5,Mashonaland East,Marondera,,1304,7142,3359,3783,2051
132106,6,Mashonaland East,Marondera Urban,,1321,3824,1969,1855,1059
130419,19,Mashonaland East,Marondera,,1304,3081,1607,1474,783
132108,8,Mashonaland East,Marondera Urban,,1321,7465,4049,3416,2036
130420,20,Mashonaland East,Marondera,,1304,4208,2195,2013,1005
130818,18,Mashonaland East,Seke,,1308,1752,862,890,409
140635,35,Mashonaland West,Zvimba,,1406,24079,12227,11852,6005
192101,1,Harare,Harare,Harare Rural,1921,113120,56794,56326,28691
192206,6,Harare,Chitungwiza,,1922,17156,9113,8043,4087
130810,10,Mashonaland East,Seke,,1308,8838,4271,4567,2303
192212,12,Harare,Chitungwiza,,1922,15111,7908,7203,3690
192218,18,Harare,Chitungwiza,,1922,17496,9162,8334,4328
130808,8,Mashonaland East,Seke,,1308,10696,5584,5112,2431
192224,24,Harare,Chitungwiza,,1922,20700,10738,9962,5161
192223,23,Harare,Chitungwiza,,1922,28068,14665,13403,6910
192222,22,Harare,Chitungwiza,,1922,15254,8072,7182,3787
192121,21,Harare,Harare,,1921,22973,11722,11251,5662
192120,20,Harare,Harare,,1921,24256,12459,11797,5950
132608,8,Mashonaland East,Ruwa,,1326,13695,7340,6355,3312
192146,46,Harare,Harare,,1921,10470,5452,5018,2548
130215,15,Mashonaland East,Goromonzi,,1302,6617,3328,3289,1498
192122,22,Harare,Harare,,1921,37313,19934,17379,8624
192307,7,Harare,Epworth,,1923,39031,19558,19473,10662
192109,9,Harare,Harare,,1921,46312,23837,22475,12379
192118,18,Harare,Harare,,1921,32632,16291,16341,9980
192225,25,Harare,Chitungwiza,,1922,12638,6684,5954,3081
192221,21,Harare,Chitungwiza,,1922,18633,10170,8463,4369
192133,33,Harare,Harare,,1921,59969,31114,28855,15232
192144,44,Harare,Harare,,1921,27225,14710,12515,6286
192128,28,Harare,Harare,,1921,27364,14385,12979,6502
192204,4,Harare,Chitungwiza,,1922,27468,14263,13205,6912
192136,36,Harare,Harare,,1921,12487,6512,5975,2848
192135,35,Harare,Harare,,1921,23868,12323,11545,5695
120118,18,Mashonaland Central,Bindura,,1201,3714,1960,1754,894
120420,20,Mashonaland Central,Mazowe,,1204,12040,5780,6260,3096
192142,42,Harare,Harare,,1921,45355,22885,22470,11658
192141,41,Harare,Harare,,1921,55398,29546,25852,13706
140624,24,Mashonaland West,Zvimba,,1406,8961,4424,4537,2220
192117,17,Harare,Harare,,1921,24632,12622,12010,7599
130809,9,Mashonaland East,Seke,,1308,8964,4225,4739,2326
192130,30,Harare,Harare,,1921,53268,27553,25715,13551
192132,32,Harare,Harare,,1921,37655,19531,18124,9534
192108,8,Harare,Harare,,1921,20298,10182,10116,6698
192107,7,Harare,Harare,,1921,29258,13903,15355,7925
192134,34,Harare,Harare,,1921,18167,9390,8777,4366
192126,26,Harare,Harare,,1921,36763,18485,18278,9689
192143,43,Harare,Harare,,1921,60229,31360,28869,14831
192116,16,Harare,Harare,,1921,45756,24815,20941,10978
192140,40,Harare,Harare,,1921,45180,23189,21991,10922
192139,39,Harare,Harare,,1921,24050,12288,11762,5871
192145,45,Harare,Harare,,1921,28926,15136,13790,7135
192137,37,Harare,Harare,,1921,70508,36484,34024,17616
192305,5,Harare,Epworth,,1923,11558,5754,5804,3212
192303,3,Harare,Epworth,,1923,15931,7900,8031,4322
192115,15,Harare,Harare,,1921,66054,34840,31214,15787
192138,38,Harare,Harare,,1921,34371,17760,16611,8658
192124,24,Harare,Harare,,1921,29464,15162,14302,7846
192125,25,Harare,Harare,,1921,30202,15648,14554,7955
192131,31,Harare,Harare,,1921,22955,11936,11019,5738
192127,27,Harare,Harare,,1921,32187,16738,15449,8048
192129,29,Harare,Harare,,1921,13251,7011,6240,3268
192103,3,Harare,Harare,,1921,22243,10750,11493,5727
192112,12,Harare,Harare,,1921,22284,11373,10911,5380
192123,23,Harare,Harare,,1921,63360,33555,29805,14485
110718,18,Manicaland,Nyanga,,1107,4093,2248,1845,1149
110717,17,Manicaland,Nyanga,,1107,4032,2171,1861,1076
192102,2,Harare,Harare,,1921,36292,19948,16344,9300
192105,5,Harare,Harare,,1921,21714,11352,10362,5782
192114,14,Harare,Harare,,1921,30521,15744,14777,7890
192106,6,Harare,Harare,,1921,21520,11929,9591,6761
192110,10,Harare,Harare,,1921,21971,11411,10560,5571
192104,4,Harare,Harare,,1921,14970,7180,7790,3926
192119,19,Harare,Harare,,1921,21145,10790,10355,5164
192306,6,Harare,Epworth,,1923,25597,12838,12759,7167
192301,1,Harare,Epworth,,1923,31475,15570,15905,8879
192205,5,Harare,Chitungwiza,,1922,10730,5565,5165,2791
192203,3,Harare,Chitungwiza,,1922,10009,5095,4914,2565
192202,2,Harare,Chitungwiza,,1922,11024,5678,5346,2924
192201,1,Harare,Chitungwiza,,1922,8286,4391,3895,2075
192208,8,Harare,Chitungwiza,,1922,10023,5312,4711,2263
192210,10,Harare,Chitungwiza,,1922,8793,4608,4185,2080
192211,11,Harare,Chitungwiza,,1922,9379,5140,4239,2227
192213,13,Harare,Chitungwiza,,1922,9832,5324,4508,2398
192214,14,Harare,Chitungwiza,,1922,15467,8191,7276,3708
192215,15,Harare,Chitungwiza,,1922,13485,7011,6474,3378
192216,16,Harare,Chitungwiza,,1922,14688,7985,6703,3961
192219,19,Harare,Chitungwiza,,1922,16658,8849,7809,4042
192220,20,Harare,Chitungwiza,,1922,11284,5812,5472,2864
192217,17,Harare,Chitungwiza,,1922,16163,8700,7463,3733
110730,30,Manicaland,Nyanga,,1107,3062,1633,1429,748
130620,20,Mashonaland East,Murehwa,,1306,4998,2631,2367,1256
130729,29,Mashonaland East,Mutoko,,1307,10066,5050,5016,2191
110435,35,Manicaland,Makoni,,1104,9891,4913,4978,2164
110706,6,Manicaland,Nyanga,,1107,3913,2125,1788,966
110710,10,Manicaland,Nyanga,,1107,3334,1839,1495,868
110707,7,Manicaland,Nyanga,,1107,4383,2383,2000,1068
110709,9,Manicaland,Nyanga,,1107,5412,2869,2543,1352
110436,36,Manicaland,Makoni,,1104,5447,2841,2606,1369
110711,11,Manicaland,Nyanga,,1107,3299,1788,1511,912
110712,12,Manicaland,Nyanga,,1107,4438,2335,2103,1071
110708,8,Manicaland,Nyanga,,1107,3319,1761,1558,850
110720,20,Manicaland,Nyanga,,1107,3142,1141,2001,1365
110716,16,Manicaland,Nyanga,,1107,2621,1310,1311,581
110406,6,Manicaland,Makoni,,1104,9884,4757,5127,2257
110722,22,Manicaland,Nyanga,,1107,2942,1594,1348,778
110727,27,Manicaland,Nyanga,,1107,2241,1144,1097,552
110728,28,Manicaland,Nyanga,,1107,619,268,351,196
110604,4,Manicaland,Mutasa,,1106,5934,3171,2763,1444
110606,6,Manicaland,Mutasa,,1106,6570,3634,2936,1544
110605,5,Manicaland,Mutasa,,1106,7677,4235,3442,1812
110630,30,Manicaland,Mutasa,,1106,5140,2757,2383,1245
110731,31,Manicaland,Nyanga,,1107,2093,1073,1020,539
110410,10,Manicaland,Makoni,,1104,6247,3151,3096,1357
110628,28,Manicaland,Mutasa,,1106,3718,2053,1665,934
110721,21,Manicaland,Nyanga,,1107,6010,3256,2754,1474
110631,31,Manicaland,Mutasa,,1106,3522,1916,1606,933
110725,25,Manicaland,Nyanga,,1107,2507,1192,1315,925
110607,7,Manicaland,Mutasa,,1106,8587,4624,3963,2088
110729,29,Manicaland,Nyanga,,1107,4445,2348,2097,1359
110724,24,Manicaland,Nyanga,,1107,1973,939,1034,585
140407,7,Mashonaland West,Kariba,,1404,1633,832,801,385
140406,6,Mashonaland West,Kariba,,1404,2242,1125,1117,478
170229,29,Midlands,Gokwe North,,1702,3678,1937,1741,811
140404,4,Mashonaland West,Kariba,,1404,5866,3042,2824,1408
170218,18,Midlands,Gokwe North,,1702,5339,2761,2578,1134
110602,2,Manicaland,Mutasa,,1106,2571,1232,1339,856
110601,1,Manicaland,Mutasa,,1106,9369,5126,4243,2170
110603,3,Manicaland,Mutasa,,1106,9374,5117,4257,2205
110629,29,Manicaland,Mutasa,,1106,2045,1105,940,518
140226,26,Mashonaland West,Hurungwe,,1402,6554,3328,3226,1401
140634,34,Mashonaland West,Zvimba,,1406,5671,2830,2841,1279
140632,32,Mashonaland West,Zvimba,,1406,7571,3735,3836,1783
142607,7,Mashonaland West,Karoi,,1426,1927,965,962,447
142605,5,Mashonaland West,Karoi,,1426,1971,1079,892,515
142603,3,Mashonaland West,Karoi,,1426,1794,1002,792,511
142602,2,Mashonaland West,Karoi,,1426,1160,632,528,281
142606,6,Mashonaland West,Karoi,,1426,1586,878,708,491
142604,4,Mashonaland West,Karoi,,1426,1787,965,822,486
142601,1,Mashonaland West,Karoi,,1426,2357,1296,1061,615
140223,23,Mashonaland West,Hurungwe,,1402,8154,4055,4099,1790
140216,16,Mashonaland West,Hurungwe,,1402,16489,8382,8107,3654
170220,20,Midlands,Gokwe North,,1702,5089,2575,2514,942
170223,23,Midlands,Gokwe North,,1702,6706,3523,3183,1363
170221,21,Midlands,Gokwe North,,1702,4196,2132,2064,855
140224,24,Mashonaland West,Hurungwe,,1402,11499,5877,5622,2473
140225,25,Mashonaland West,Hurungwe,,1402,14615,7500,7115,3141
140409,9,Mashonaland West,Kariba,,1404,2999,1455,1544,640
140402,2,Mashonaland West,Kariba,,1404,2112,986,1126,516
140505,5,Mashonaland West,Makonde,,1405,10425,5104,5321,2144
140507,7,Mashonaland West,Makonde,,1405,2949,1545,1404,728
140614,14,Mashonaland West,Zvimba,,1406,7217,3516,3701,1707
140613,13,Mashonaland West,Zvimba,,1406,12447,6120,6327,2759
140616,16,Mashonaland West,Zvimba,,1406,1769,901,868,439
120315,15,Mashonaland Central,Guruve,,1203,2298,1099,1199,465
140617,17,Mashonaland West,Zvimba,,1406,10886,5292,5594,2331
140623,23,Mashonaland West,Zvimba,,1406,3115,1608,1507,704
140622,22,Mashonaland West,Zvimba,,1406,7188,3805,3383,1878
140509,9,Mashonaland West,Makonde,,1405,9102,4505,4597,1865
142115,15,Mashonaland West,Chinhoyi,,1421,3664,1874,1790,834
140630,30,Mashonaland West,Zvimba,,1406,10131,5013,5118,2341
140618,18,Mashonaland West,Zvimba,,1406,7005,3417,3588,1636
120307,7,Mashonaland Central,Guruve,,1203,7970,4411,3559,1583
120322,22,Mashonaland Central,Guruve,,1203,7532,4068,3464,1633
142111,11,Mashonaland West,Chinhoyi,,1421,5304,2594,2710,725
142103,3,Mashonaland West,Chinhoyi,,1421,8330,4585,3745,1973
142113,13,Mashonaland West,Chinhoyi,,1421,4010,2124,1886,924
142105,5,Mashonaland West,Chinhoyi,,1421,10365,5496,4869,2537
142114,14,Mashonaland West,Chinhoyi,,1421,5043,2628,2415,1183
142109,9,Mashonaland West,Chinhoyi,,1421,2574,1306,1268,583
140506,6,Mashonaland West,Makonde,,1405,5824,2786,3038,1318
142110,10,Mashonaland West,Chinhoyi,,1421,2803,1310,1493,664
142108,8,Mashonaland West,Chinhoyi,,1421,7688,4180,3508,2097
140631,31,Mashonaland West,Zvimba,,1406,6796,3309,3487,1523
142112,12,Mashonaland West,Chinhoyi,,1421,7030,3717,3313,1677
142104,4,Mashonaland West,Chinhoyi,,1421,8162,4312,3850,1941
142107,7,Mashonaland West,Chinhoyi,,1421,4897,2588,2309,1224
142106,6,Mashonaland West,Chinhoyi,,1421,3762,2007,1755,967
140513,13,Mashonaland West,Makonde,,1405,6456,3132,3324,1388
140504,4,Mashonaland West,Makonde,,1405,11998,5929,6069,2586
140511,11,Mashonaland West,Makonde,,1405,15599,7873,7726,3594
130910,10,Mashonaland East,Uzumba Maramba Pfungwe,,1309,6684,3491,3193,1518
130913,13,Mashonaland East,Uzumba Maramba Pfungwe,,1309,8851,4639,4212,2080
130912,12,Mashonaland East,Uzumba Maramba Pfungwe,,1309,6130,3195,2935,1518
130914,14,Mashonaland East,Uzumba Maramba Pfungwe,,1309,7446,3900,3546,1811
120721,21,Mashonaland Central,Shamva,,1207,3400,1511,1889,721
130915,15,Mashonaland East,Uzumba Maramba Pfungwe,,1309,7068,3705,3363,1705
130601,1,Mashonaland East,Murehwa,,1306,4193,2144,2049,1017
122110,10,Mashonaland Central,Bindura Urban,,1221,3689,1952,1737,926
122109,9,Mashonaland Central,Bindura Urban,,1221,4609,2404,2205,1183
130602,2,Mashonaland East,Murehwa,,1306,4141,2106,2035,990
130908,8,Mashonaland East,Uzumba Maramba Pfungwe,,1309,7054,3598,3456,1654
130907,7,Mashonaland East,Uzumba Maramba Pfungwe,,1309,2972,1476,1496,638
130909,9,Mashonaland East,Uzumba Maramba Pfungwe,,1309,7436,3854,3582,1713
130906,6,Mashonaland East,Uzumba Maramba Pfungwe,,1309,6840,3539,3301,1679
120513,13,Mashonaland Central,Mount Darwin,,1205,1473,724,749,312
120514,14,Mashonaland Central,Mount Darwin,,1205,7623,4028,3595,1712
120520,20,Mashonaland Central,Mount Darwin,,1205,5241,2659,2582,1076
120406,6,Mashonaland Central,Mazowe,,1204,5731,3071,2660,1329
120407,7,Mashonaland Central,Mazowe,,1204,5506,2888,2618,1315
120529,29,Mashonaland Central,Mount Darwin,,1205,1332,676,656,272
120527,27,Mashonaland Central,Mount Darwin,,1205,4710,2230,2480,935
120524,24,Mashonaland Central,Mount Darwin,,1205,8672,4449,4223,1958
120526,26,Mashonaland Central,Mount Darwin,,1205,8088,4290,3798,2125
120525,25,Mashonaland Central,Mount Darwin,,1205,1436,729,707,327
120528,28,Mashonaland Central,Mount Darwin,,1205,1073,536,537,221
120521,21,Mashonaland Central,Mount Darwin,,1205,797,387,410,174
120523,23,Mashonaland Central,Mount Darwin,,1205,7881,4214,3667,1393
120516,16,Mashonaland Central,Mount Darwin,,1205,4125,2166,1959,866
120213,13,Mashonaland Central,Centenary,,1202,2813,1339,1474,639
120214,14,Mashonaland Central,Centenary,,1202,6972,3367,3605,1560
120539,39,Mashonaland Central,Mount Darwin,,1205,4095,2057,2038,801
120228,28,Mashonaland Central,Centenary,,1202,5353,2596,2757,1219
120401,1,Mashonaland Central,Mazowe,,1204,5713,3058,2655,1292
120403,3,Mashonaland Central,Mazowe,,1204,4858,2529,2329,1178
120402,2,Mashonaland Central,Mazowe,,1204,4575,2383,2192,1077
120222,22,Mashonaland Central,Centenary,,1202,1885,942,943,415
122108,8,Mashonaland Central,Bindura Urban,,1221,4825,2586,2239,1229
120416,16,Mashonaland Central,Mazowe,,1204,8063,4016,4047,1967
120703,3,Mashonaland Central,Shamva,,1207,5172,2746,2426,1209
120702,2,Mashonaland Central,Shamva,,1207,1972,1044,928,492
120704,4,Mashonaland Central,Shamva,,1207,2307,1249,1058,537
120540,40,Mashonaland Central,Mount Darwin,,1205,6528,3091,3437,1440
120404,4,Mashonaland Central,Mazowe,,1204,4328,2239,2089,1053
120405,5,Mashonaland Central,Mazowe,,1204,5385,2848,2537,1288
120705,5,Mashonaland Central,Shamva,,1207,4070,2180,1890,918
120701,1,Mashonaland Central,Shamva,,1207,4092,2120,1972,952
120725,25,Mashonaland Central,Shamva,,1207,1896,974,922,436
120102,2,Mashonaland Central,Bindura,,1201,7110,3465,3645,1473
120427,27,Mashonaland Central,Mazowe,,1204,11932,5852,6080,2756
120726,26,Mashonaland Central,Shamva,,1207,1975,1038,937,484
120710,10,Mashonaland Central,Shamva,,1207,3893,2087,1806,888
120708,8,Mashonaland Central,Shamva,,1207,4552,2425,2127,1068
120105,5,Mashonaland Central,Bindura,,1201,5786,2897,2889,1350
120714,14,Mashonaland Central,Shamva,,1207,3853,1944,1909,800
120428,28,Mashonaland Central,Mazowe,,1204,3565,1734,1831,880
120723,23,Mashonaland Central,Shamva,,1207,3004,1260,1744,628
120728,28,Mashonaland Central,Shamva,,1207,3565,1734,1831,880
120101,1,Mashonaland Central,Bindura,,1201,4709,2281,2428,1011
120408,8,Mashonaland Central,Mazowe,,1204,9902,5189,4713,2410
120709,9,Mashonaland Central,Shamva,,1207,5844,3055,2789,1405
130904,4,Mashonaland East,Uzumba Maramba Pfungwe,,1309,10216,5220,4996,2238
130504,4,Mashonaland East,Mudzi,,1305,8667,4574,4093,2055
130903,3,Mashonaland East,Uzumba Maramba Pfungwe,,1309,5299,2771,2528,1212
130505,5,Mashonaland East,Mudzi,,1305,5980,3132,2848,1357
130506,6,Mashonaland East,Mudzi,,1305,5940,3175,2765,1456
130512,12,Mashonaland East,Mudzi,,1305,9791,5169,4622,2251
120715,15,Mashonaland Central,Shamva,,1207,4720,2361,2359,985
120104,4,Mashonaland Central,Bindura,,1201,5703,2785,2918,1245
120103,3,Mashonaland Central,Bindura,,1201,8709,4285,4424,1853
120410,10,Mashonaland Central,Mazowe,,1204,6512,3379,3133,1551
120409,9,Mashonaland Central,Mazowe,,1204,6476,3476,3000,1552
120425,25,Mashonaland Central,Mazowe,,1204,7027,3445,3582,1610
120413,13,Mashonaland Central,Mazowe,,1204,5552,2945,2607,1312
120412,12,Mashonaland Central,Mazowe,,1204,8103,4380,3723,1879
120411,11,Mashonaland Central,Mazowe,,1204,6711,3569,3142,1524
120711,11,Mashonaland Central,Shamva,,1207,4429,2325,2104,1038
130508,8,Mashonaland East,Mudzi,,1305,6593,3552,3041,1601
130507,7,Mashonaland East,Mudzi,,1305,9530,5024,4506,2368
130516,16,Mashonaland East,Mudzi,,1305,6702,3507,3195,1620
130703,3,Mashonaland East,Mutoko,,1307,4586,2482,2104,1085
130704,4,Mashonaland East,Mutoko,,1307,5093,2621,2472,1268
130707,7,Mashonaland East,Mutoko,,1307,4710,2425,2285,1233
130702,2,Mashonaland East,Mutoko,,1307,7267,3684,3583,1716
130515,15,Mashonaland East,Mudzi,,1305,9854,5105,4749,2199
130518,18,Mashonaland East,Mudzi,,1305,4758,2449,2309,1156
130513,13,Mashonaland East,Mudzi,,1305,3893,2044,1849,1049
130709,9,Mashonaland East,Mutoko,,1307,3354,1732,1622,796
130706,6,Mashonaland East,Mutoko,,1307,2181,1146,1035,571
120713,13,Mashonaland Central,Shamva,,1207,3022,1466,1556,712
130911,11,Mashonaland East,Uzumba Maramba Pfungwe,,1309,7828,4037,3791,1835
120120,20,Mashonaland Central,Bindura,,1201,7550,3702,3848,1840
120712,12,Mashonaland Central,Shamva,,1207,3718,1900,1818,871
120727,27,Mashonaland Central,Shamva,,1207,3640,1792,1848,731
120414,14,Mashonaland Central,Mazowe,,1204,8448,4165,4283,1980
120418,18,Mashonaland Central,Mazowe,,1204,5187,2395,2792,1233
120432,32,Mashonaland Central,Mazowe,,1204,5091,2462,2629,1266
130727,27,Mashonaland East,Mutoko,,1307,8194,4083,4111,1809
130720,20,Mashonaland East,Mutoko,,1307,12398,6604,5794,3493
130721,21,Mashonaland East,Mutoko,,1307,766,346,420,174
120121,21,Mashonaland Central,Bindura,,1201,10040,4885,5155,2290
120119,19,Mashonaland Central,Bindura,,1201,7253,3583,3670,1672
120415,15,Mashonaland Central,Mazowe,,1204,4864,2563,2301,1231
120107,7,Mashonaland Central,Bindura,,1201,5687,2755,2932,1284
120110,10,Mashonaland Central,Bindura,,1201,7196,3708,3488,1646
122101,1,Mashonaland Central,Bindura Urban,,1221,4464,2338,2126,1214
120729,29,Mashonaland Central,Shamva,,1207,7230,3414,3816,1698
120722,22,Mashonaland Central,Shamva,,1207,6225,3250,2975,1659
122102,2,Mashonaland Central,Bindura Urban,,1221,2858,1369,1489,683
120106,6,Mashonaland Central,Bindura,,1201,6821,3248,3573,1670
120113,13,Mashonaland Central,Bindura,,1201,3254,1638,1616,760
130728,28,Mashonaland East,Mutoko,,1307,5391,2784,2607,1256
130722,22,Mashonaland East,Mutoko,,1307,1481,751,730,307
110702,2,Manicaland,Nyanga,,1107,5312,2869,2443,1256
120109,9,Mashonaland Central,Bindura,,1201,4718,2401,2317,1065
120625,25,Mashonaland Central,Rushinga,,1206,1196,614,582,250
110701,1,Manicaland,Nyanga,,1107,4924,2565,2359,1115
120718,18,Mashonaland Central,Shamva,,1207,3320,1613,1707,740
120720,20,Mashonaland Central,Shamva,,1207,6459,3075,3384,1514
120108,8,Mashonaland Central,Bindura,,1201,4580,2215,2365,1026
142402,2,Mashonaland West,Kariba Urban,,1424,7209,3623,3586,1847
120114,14,Mashonaland Central,Bindura,,1201,4161,2201,1960,961
120522,22,Mashonaland Central,Mount Darwin,,1205,8680,4338,4342,1771
142401,1,Mashonaland West,Kariba Urban,,1424,5242,2653,2589,1351
120422,22,Mashonaland Central,Mazowe,,1204,4671,2246,2425,1221
120435,35,Mashonaland Central,Mazowe,,1204,3880,1936,1944,925
120421,21,Mashonaland Central,Mazowe,,1204,6777,3218,3559,1694
122103,3,Mashonaland Central,Bindura Urban,,1221,1212,546,666,315
122112,12,Mashonaland Central,Bindura Urban,,1221,8447,4378,4069,2137
142403,3,Mashonaland West,Kariba Urban,,1424,5715,2962,2753,1480
120226,26,Mashonaland Central,Centenary,,1202,4087,1972,2115,946
122111,11,Mashonaland Central,Bindura Urban,,1221,2613,1374,1239,597
122106,6,Mashonaland Central,Bindura Urban,,1221,3111,1588,1523,769
120717,17,Mashonaland Central,Shamva,,1207,6829,3269,3560,1478
120215,15,Mashonaland Central,Centenary,,1202,3350,1761,1589,864
120706,6,Mashonaland Central,Shamva,,1207,3645,1965,1680,873
120707,7,Mashonaland Central,Shamva,,1207,3685,1921,1764,870
122104,4,Mashonaland Central,Bindura Urban,,1221,3424,1761,1663,903
122105,5,Mashonaland Central,Bindura Urban,,1221,2896,1490,1406,749
122107,7,Mashonaland Central,Bindura Urban,,1221,1885,1005,880,467
120719,19,Mashonaland Central,Shamva,,1207,4209,2019,2190,983
130511,11,Mashonaland East,Mudzi,,1305,7611,4176,3435,1980
130517,17,Mashonaland East,Mudzi,,1305,4780,2579,2201,1199
120601,1,Mashonaland Central,Rushinga,,1206,2548,1292,1256,592
130510,10,Mashonaland East,Mudzi,,1305,9374,5105,4269,2432
130502,2,Mashonaland East,Mudzi,,1305,7954,4218,3736,2007
130902,2,Mashonaland East,Uzumba Maramba Pfungwe,,1309,5843,3062,2781,1356
130901,1,Mashonaland East,Uzumba Maramba Pfungwe,,1309,6423,3273,3150,1490
120618,18,Mashonaland Central,Rushinga,,1206,4011,2060,1951,927
130509,9,Mashonaland East,Mudzi,,1305,5186,2805,2381,1307
130503,3,Mashonaland East,Mudzi,,1305,7508,3918,3590,1877
130905,5,Mashonaland East,Uzumba Maramba Pfungwe,,1309,4578,2440,2138,1022
130701,1,Mashonaland East,Mutoko,,1307,4187,2152,2035,900
130708,8,Mashonaland East,Mutoko,,1307,2782,1428,1354,683
130713,13,Mashonaland East,Mutoko,,1307,3083,1617,1466,758
130714,14,Mashonaland East,Mutoko,,1307,4288,2201,2087,1081
130716,16,Mashonaland East,Mutoko,,1307,6711,3524,3187,1710
142406,6,Mashonaland West,Kariba Urban,,1424,1353,691,662,370
142405,5,Mashonaland West,Kariba Urban,,1424,1863,898,965,468
120802,2,Mashonaland Central,Mbire,,1208,4851,2514,2337,1149
120803,3,Mashonaland Central,Mbire,,1208,6106,3033,3073,1337
120809,9,Mashonaland Central,Mbire,,1208,4894,2437,2457,1126
120817,17,Mashonaland Central,Mbire,,1208,3812,1892,1920,834
130715,15,Mashonaland East,Mutoko,,1307,3618,1882,1736,975
130514,14,Mashonaland East,Mudzi,,1305,11706,5787,5919,2701
130705,5,Mashonaland East,Mutoko,,1307,4168,2176,1992,1059
120317,17,Mashonaland Central,Guruve,,1203,1549,776,773,323
120816,16,Mashonaland Central,Mbire,,1208,2996,1503,1493,624
120805,5,Mashonaland Central,Mbire,,1208,5289,2681,2608,1192
120813,13,Mashonaland Central,Mbire,,1208,5745,2925,2820,1258
120204,4,Mashonaland Central,Centenary,,1202,5139,2623,2516,1118
120223,23,Mashonaland Central,Centenary,,1202,9340,4487,4853,1953
120201,1,Mashonaland Central,Centenary,,1202,7505,3806,3699,1594
130712,12,Mashonaland East,Mutoko,,1307,5168,2725,2443,1342
130718,18,Mashonaland East,Mutoko,,1307,8435,4381,4054,2064
130711,11,Mashonaland East,Mutoko,,1307,4641,2413,2228,1108
130710,10,Mashonaland East,Mutoko,,1307,3667,1943,1724,955
130717,17,Mashonaland East,Mutoko,,1307,5278,2716,2562,1327
130723,23,Mashonaland East,Mutoko,,1307,950,467,483,245
120615,15,Mashonaland Central,Rushinga,,1206,3621,1957,1664,875
120502,2,Mashonaland Central,Mount Darwin,,1205,12229,6347,5882,2960
120503,3,Mashonaland Central,Mount Darwin,,1205,4531,2326,2205,1140
120205,5,Mashonaland Central,Centenary,,1202,5008,2597,2411,1125
120219,19,Mashonaland Central,Centenary,,1202,2918,1467,1451,664
120814,14,Mashonaland Central,Mbire,,1208,2409,1174,1235,553
120202,2,Mashonaland Central,Centenary,,1202,6394,3219,3175,1355
120203,3,Mashonaland Central,Centenary,,1202,2760,1404,1356,627
120612,12,Mashonaland Central,Rushinga,,1206,3976,2074,1902,881
120619,19,Mashonaland Central,Rushinga,,1206,2556,1364,1192,659
120605,5,Mashonaland Central,Rushinga,,1206,1403,694,709,320
120604,4,Mashonaland Central,Rushinga,,1206,3368,1760,1608,807
120621,21,Mashonaland Central,Rushinga,,1206,2834,1540,1294,636
120616,16,Mashonaland Central,Rushinga,,1206,3342,1776,1566,766
120614,14,Mashonaland Central,Rushinga,,1206,3505,1816,1689,814
142409,9,Mashonaland West,Kariba Urban,,1424,1630,806,824,426
120209,9,Mashonaland Central,Centenary,,1202,2481,1282,1199,562
142408,8,Mashonaland West,Kariba Urban,,1424,1197,539,658,306
120810,10,Mashonaland Central,Mbire,,1208,6917,3503,3414,1489
120227,27,Mashonaland Central,Centenary,,1202,4584,2324,2260,1024
120533,33,Mashonaland Central,Mount Darwin,,1205,6758,3499,3259,1657
120511,11,Mashonaland Central,Mount Darwin,,1205,6136,3217,2919,1394
120320,20,Mashonaland Central,Guruve,,1203,4342,2221,2121,975
120808,8,Mashonaland Central,Mbire,,1208,8397,4235,4162,1751
120807,7,Mashonaland Central,Mbire,,1208,2549,1256,1293,569
120224,24,Mashonaland Central,Centenary,,1202,5938,2974,2964,1232
120504,4,Mashonaland Central,Mount Darwin,,1205,4282,2243,2039,1030
120505,5,Mashonaland Central,Mount Darwin,,1205,4445,2239,2206,1057
120623,23,Mashonaland Central,Rushinga,,1206,2070,1071,999,462
120532,32,Mashonaland Central,Mount Darwin,,1205,1791,937,854,427
120534,34,Mashonaland Central,Mount Darwin,,1205,5512,2905,2607,1409
120531,31,Mashonaland Central,Mount Darwin,,1205,4352,2250,2102,973
120506,6,Mashonaland Central,Mount Darwin,,1205,5013,2553,2460,1147
120208,8,Mashonaland Central,Centenary,,1202,5710,2905,2805,1397
120210,10,Mashonaland Central,Centenary,,1202,8133,4261,3872,1857
120218,18,Mashonaland Central,Centenary,,1202,2345,1219,1126,493
120217,17,Mashonaland Central,Centenary,,1202,5982,3055,2927,1352
120508,8,Mashonaland Central,Mount Darwin,,1205,7943,4174,3769,1796
120507,7,Mashonaland Central,Mount Darwin,,1205,5524,2903,2621,1248
120535,35,Mashonaland Central,Mount Darwin,,1205,3939,2020,1919,875
120221,21,Mashonaland Central,Centenary,,1202,2261,1134,1127,491
120501,1,Mashonaland Central,Mount Darwin,,1205,3429,1769,1660,809
162301,1,Matabeleland South,Plumtree,,1623,2989,1671,1318,845
160207,7,Matabeleland South,Bulilima,,1602,8374,4591,3783,1824
162306,6,Matabeleland South,Plumtree,,1623,1881,970,911,539
